City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Snow,Rain,Weather Description
104,Sarangani,5.4,125.46,82.02,70,100,1.5,PH,2020-07-12 21:12:25,0,0.0,overcast clouds
105,Slave Lake,55.28,-114.77,64.4,52,75,21.92,CA,2020-07-12 21:12:25,0,0.0,broken clouds
106,Geraldton,-28.77,114.6,53.6,58,0,14.99,AU,2020-07-12 21:10:52,0,0.0,clear sky
107,Sur,22.57,59.53,85.55,67,99,16.6,OM,2020-07-12 21:12:25,0,0.0,overcast clouds
108,Jiangyou,31.77,104.72,73.69,77,100,3.58,CN,2020-07-12 21:12:25,0,0.0,overcast clouds
109,Hobart,-42.88,147.33,39.99,93,75,5.82,AU,2020-07-12 21:10:48,0,0.0,broken clouds
110,Kungurtug,50.6,97.52,53.87,84,66,1.5,RU,2020-07-12 21:10:44,0,0.0,broken clouds
111,Igrim,63.19,64.42,60.85,88,26,9.57,RU,2020-07-12 21:12:25,0,0.0,scattered clouds
112,Huarmey,-10.07,-78.15,67.3,68,23,8.16,PE,2020-07-12 21:12:25,0,0.0,few clouds
113,Demba,-5.51,22.27,73.17,75,68,2.33,CD,2020-07-12 21:12:26,0,0.0,broken clouds
114,Berlevag,70.86,29.09,46.4,87,75,5.82,NO,2020-07-12 21:10:53,0,0.0,broken clouds
115,Margate,51.38,1.39,60.01,70,86,3.0,GB,2020-07-12 21:09:02,0,0.0,overcast clouds
116,Tiksi,71.69,128.87,59.45,80,100,4.29,RU,2020-07-12 21:08:24,0,0.0,overcast clouds
117,Egvekinot,66.32,-179.17,56.01,48,95,4.94,RU,2020-07-12 21:12:26,0,0.0,overcast clouds
118,Rawson,-43.3,-65.1,43.52,57,0,21.3,AR,2020-07-12 21:08:19,0,0.0,clear sky
119,Provideniya,64.38,-173.3,51.8,76,20,11.18,RU,2020-07-12 21:11:00,0,0.0,mist
120,Manakara,-22.13,48.02,67.73,87,1,9.6,MG,2020-07-12 21:12:27,0,0.0,clear sky
121,Antofagasta,-23.65,-70.4,59.0,67,40,9.17,CL,2020-07-12 21:12:27,0,0.0,scattered clouds
122,Baykit,61.67,96.37,55.17,89,77,1.92,RU,2020-07-12 21:10:32,0,0.0,broken clouds
123,Oneida,43.2,-75.47,78.01,78,90,12.75,US,2020-07-12 21:12:27,0,1.4,heavy intensity rain
124,Havre-Saint-Pierre,50.23,-63.6,75.2,78,20,9.17,CA,2020-07-12 21:12:24,0,0.0,few clouds
125,Rassvet,46.83,40.75,75.76,52,70,5.08,RU,2020-07-12 21:12:27,0,0.0,broken clouds
126,Anadyr,64.75,177.48,55.4,76,20,4.47,RU,2020-07-12 21:12:27,0,0.0,few clouds
127,Khatanga,71.97,102.5,54.72,77,100,14.74,RU,2020-07-12 21:07:53,0,0.0,overcast clouds
128,Mareeba,-17.0,145.43,69.01,89,75,3.0,AU,2020-07-12 21:08:29,0,0.0,broken clouds
129,Gizo,-8.1,156.84,82.8,78,90,13.29,SB,2020-07-12 21:11:20,0,2.32,moderate rain
130,Kenai,60.55,-151.26,55.4,93,90,6.93,US,2020-07-12 21:11:37,0,0.0,overcast clouds
131,Yulara,-25.24,130.99,37.4,74,0,5.82,AU,2020-07-12 21:12:28,0,0.0,clear sky
132,Kahului,20.89,-156.47,89.6,43,40,25.28,US,2020-07-12 21:12:03,0,0.0,scattered clouds
133,Arraial Do Cabo,-22.97,-42.03,78.8,61,66,5.82,BR,2020-07-12 21:12:28,0,0.0,broken clouds
134,Cabedelo,-6.98,-34.83,78.8,74,20,10.29,BR,2020-07-12 21:09:57,0,0.0,few clouds
135,Port Elizabeth,-33.92,25.57,55.4,66,0,5.82,ZA,2020-07-12 21:08:26,0,0.0,clear sky
